Index,Movement between Admin,Movement between Tiles,Facebook Population (Admin,Facebook Population (Tile
folder,movement_admin,movement_tile,population_admin,population_tile
Denmark,215895176143314,247725979953493,518481648841284,1539619432872237
Sweden,577207412892410,244992700207953,229673618240387,2951878348191607
Germany,581951732415190,1344665422407136,1425839474266370,1310480779160937
Brazil,2594608147471058,2319035081732462,257459572082478,2275522182741922
France,488834255146400,634725683991503,1246339958888741,201173407870297
Spain,198040708200266,157986168604929,637366680389171,1926501527494356
Norway,231177811364496,1472812262897808,217402096280181,545803662982274
Italy,200482447696751,208980503584163,125454835573849,534989130457854
Iceland,821114188393540,224661795425524,2789900597796586,536573313957073
New Zealand,1392462894261129,252881052372095,614418345800557,208411576941443
United Kingdom,207237577288080,1671212783027520,146593609915046,881889318900484
Netherlands,1501011416725782,265546631107178,213734503318237,673484260069340
